UniProt	GeneName
Q7Z2K6	ERMP1
Q99678	GPR20
Q9NS67	GPR27
Q96P67	GPR82
Q6UWM5	GLIPR1L1
Q9NWQ4	GPATCH2L
Q9BRR8	GPATCH1
Q9NW75	GPATCH2
Q5T3I0	GPATCH4
Q9UKJ3	GPATCH8
P0CJ86	DUX4L3
P0CJ87	DUX4L4
P0CJ88	DUX4L5
Q3B7J2	GFOD2
Q14156	EFR3A
Q8N9N8	EIF1AD
Q8N140	EID3
A0A087WX78	ELOA3C
A6NLF2	ELOA3D
P0DJR0	GIMD1
Q9NU53	GINM1
Q8TF65	GIPC2
Q5VSY0	GKAP1
P0CG01	GKN3P
Q6UWU2	GLB1L
Q58FF3	HSP90B2P
Q14507	EDDM3A
Q14236	DIAPH2-AS1
Q8TAY7	FAM110D
Q6P1L5	FAM117B
Q6PK57	DNM1P34
Q96MA1	DMRTB1
Q8N5C7	DTWD1
A1L429	GAGE12B
P0CL80	GAGE12F
A6NER3	GAGE12J
Q8N9W4	GOLGA6L2
A6NEY3	GOLGA6L3
A6NEF3	GOLGA6L4
A8MZA4	GOLGA6L6
A0A1B0GV03	GOLGA6L7
A6NEM1	GOLGA6L9
A6NI86	GOLGA6L10
H0YKK7	GOLGA6L19
H0YM25	GOLGA6L22
Q9HBQ8	GOLGA2P5
Q9UEU5	GAGE2D
Q5JRK9	PAGE2B
Q5YKI7	GGNBP1
A6NGU5	GGT3P
Q8IYW4	ENTHD1
Q9NQ60	EQTN
A6NHQ4	EPOP
P60509	ERVPABLB-1
P33947	KDELR2
Q9H596	DUSP21
P0DPD8	EEF1AKMT4-ECE2
Q8IY85	EFCAB13
C9JQL5	null
P56555	DSCR4
P59022	DSCR10
Q658K8	EEF1DP3
Q96G04	EEF2KMT
Q5U4N7	GDF5OS
Q9BUY7	EFCAB11
Q6NXP0	EFCAB12
P60507	ERVFC1
P60608	ERVFC1-1
Q9HAE3	EFCAB1
Q3SY89	ELOA3B
Q96JB1	DNAH8
Q96IM9	DYDC2
Q0VDD8	DNAH14
Q9UFH2	DNAH17
Q8TD57	DNAH3
Q9NVP4	DZANK1
Q8IYY4	DZIP1L
P0CF75	EBLN1
A4FU69	EFCAB5
A8K855	EFCAB7
A2CJ06	DYTN
Q86Y13	DZIP3
Q86YB7	ECHDC2
Q96DC8	ECHDC3
Q8N5I4	DHRSX
Q9H1X3	DNAJC25
P0DN84	null
Q9NYC9	DNAH9
Q6ZTU2	EP400P1
Q9HCS5	EPB41L4A
Q96PT4	DUX3
P54792	DVL1P1
Q6P2I7	EBLN2
A0A1B0GTR0	EDDM13
Q3B7T1	EDRF1
Q96MZ0	GDAP1L1
Q99675	CGRRF1
Q8N9H6	C8orf31
Q6P047	C8orf74
Q96M86	DNHD1
Q5JWR5	DOP1A
A0A0U1RQF7	DPEP2NB
Q9H5Z1	DHX35
Q8IY37	DHX37
Q8IX18	DHX40
Q5HYR2	DMRTC1
O96015	DNAL4
Q9NR33	POLE4
P0CJ85	DUX4L2
Q6ZN92	null
Q8WTR2	DUSP19
Q96PT3	DUX5
Q9BZD3	GCOM2
Q9C0G6	DNAH6
Q8IVF4	DNAH10
P57055	RIPPLY3
Q96T75	DSCR8
P59020	DSCR9
Q8IZU8	DSEL
P0CJ89	DUX4L6
P0CJ90	DUX4L7
Q9BY60	GABARAPL3
Q96G46	DUS3L
Q6RFH8	DUX4L9
A6NLW8	DUXA
Q30KR1	DEFB109B
Q8WV16	DCAF4
Q9P265	DIP2B
A7MBM2	DISP2
Q8IXT2	DMRTC2
Q9Y485	DMXL1
Q8NBA8	DTWD2
Q8WZA8	GCRG224
Q6P1R4	DUS1L
Q8N3D4	EHBP1L1
P61550	ERVS71-1
Q9NRY5	FAM114A2
Q8WW52	FAM151A
Q5BKY9	FAM133B
Q9UHL3	FAM153A
C9JC47	FAM157A
P0CG42	FAM157B
Q9Y6X4	FAM169A
Q5VUB5	FAM171A1
A8MVW0	FAM171A2
Q8TBP5	FAM174A
Q8NB25	FAM184A
A6NE01	FAM186A
Q8IYM0	FAM186B
Q7Z5A7	FAM19A5
Q96PV7	FAM193B
Q9UFP1	FAM198A
Q5SY85	FAM201A
Q9H8W3	FAM204A
Q6ZU69	FAM205A
Q63HN1	FAM205BP
A6NFA0	FAM205C
Q32MH5	FAM214A
Q8IW50	FAM219A
A6NKX1	FAM223B
Q96M60	FAM227B
Q86W67	FAM228A
P0C875	FAM228B
H3BQW9	FAM229A
Q4G0N7	FAM229B
P0DMU4	FAM231AP
A6NCW3	FAM231BP
P0DMU5	FAM231C
Q6ZW35	FAM231D
P0DMU3	null
A0A1B0GUQ0	FAM236A
A0A1B0GV22	FAM236B
A0A1B0GTK4	FAM237A
A0A1B0GVK7	FAM240A
A0A1B0GVZ2	FAM240B
Q8N8J7	FAM241A
Q96D05	FAM241B
Q8N7N1	FAM86B1
P0C5J1	FAM86B2
A6NEL3	FAM86C2P
Q05BU3	FAM86JP
Q5RGS3	FAM74A1
Q4VXF1	FAM74A3
Q658T7	FAM90A2P
A6NJQ4	FAM90A8P
A6NNJ1	FAM90A9P
A6NE21	FAM90A18P
P0C7V4	FAM90A15P
A6NIJ5	FAM90A20P
P0C7X0	FAM90A24P
D6RGX4	FAM90A26
A6NNH2	FAM90A27P
Q9H0Q0	FAM49A
Q14153	FAM53B
Q71RH2	FAM57B
Q9NZY2	FAM30A
Q8TCE6	FAM45A
Q8IYT1	FAM71A
Q8TC56	FAM71B
Q8NEG0	FAM71C
Q8IYF1	ELOA2
Q5T8I3	FAM102B
Q969W3	FAM104A
Q5XKR9	FAM104B
P0CH98	FAM106CP
B1AL88	FAM155A
P0C2L3	FAM163B
Q5W0V3	FAM160B1
Q9NWS6	FAM118A
Q9BPY3	FAM118B
Q9H5Z6	FAM124B
A1A519	FAM170A
Q9BQD7	FAM173A
Q6UWF9	FAM180A
Q6P0A1	FAM180B
Q8N9Y4	FAM181A
A6NEQ2	FAM181B
Q5T1J6	FAM182A
Q5T319	FAM182B
A6NL82	FAM183A
Q8N128	FAM177A1
Q8IXR5	FAM178B
Q17R55	FAM187B
O60320	FAM189A1
Q15884	FAM189A2
P78312	FAM193A
Q8N3H0	FAM19A2
Q5JX71	FAM209A
Q5JX69	FAM209B
Q96ND0	FAM210A
Q9Y5M1	FAM215A
Q8WUB2	FAM216A
Q8N7L0	FAM216B
Q8IXS0	FAM217A
Q9NTX9	FAM217B
Q96MZ4	FAM218A
Q5XKK7	FAM219B
Q7Z4H9	FAM220A
B1ANY3	FAM220BP
A4D161	FAM221A
A6H8Z2	FAM221B
Q5U5X8	FAM222A
Q8WU58	FAM222B
Q6P4D5	FAM122C
Q8IWN6	FAM223A
F5H4B4	FAM227A
Q9H0X4	FAM234A
A2RU67	FAM234B
P0DP71	FAM236C
A0A1B0GTK5	FAM236D
B9A014	FAM243A
P0DPQ4	FAM243B
Q96D98	EID2B
Q96FG2	ELMOD3
P59796	GPX6
Q9NVM1	EVA1B
Q17RC7	EXOC3L4
Q4KMX7	FAM106A
Q6UXB0	FAM131A
Q9C073	FAM117A
A8MUP6	GSG1L2
Q86V42	FAM124A
A6NMN3	FAM170B
Q96GI7	FAM89A
Q99880	HIST1H2BL
Q8NG57	ELOA3
Q6ZN32	ETV3L
A0A1B0GW35	EXOC1L
Q5T9C2	FAM102A
Q8IXS8	FAM126B
Q96BN6	FAM149B1
Q8NCA5	FAM98A
Q5TZK3	FAM74A4
Q8IZU1	FAM9A
Q0D2K5	EGFEM1P
P60002	ELOF1
Q1W209	ESRG
A8MXD5	GRXCR1
Q5T7N8	FAM27D1
Q08E93	FAM27E3
Q6IPT2	FAM71E1
Q8N5Q1	FAM71E2
Q96KD3	FAM71F1
Q6NXP2	FAM71F2
A6NL05	FAM74A7
A8MXJ8	FAM90A5P
A6NDY2	FAM90A10P
A8MX19	FAM90A12P
P0C7W8	FAM90A13P
P0C7W9	FAM90A14P
A6NEW6	FAM90A16P
A8MWA6	FAM90A22P
A8MXZ1	FAM90A23P
P0C866	LINC00869
Q8NE31	FAM13C
A6NFZ4	FAM24A
Q8TBR7	FAM57A
Q9Y421	FAM32A
P0C841	FAM66E
Q5VUD6	FAM69B
Q0P6D2	FAM69C
Q96KN4	FAM84A
Q8NFI4	ST13P5
Q9P2D6	FAM135A
Q96C01	FAM136A
A1KXE4	FAM168B
Q5TC63	GRTP1
Q05DH4	FAM160A1
Q86V87	FAM160B2
Q5T036	FAM120AOS
Q6P995	FAM171B
A6NC97	FAM172BP
Q5JQS6	GCSAML
Q9NRJ2	GSN-AS1
Q6ZVS7	FAM183BP
Q3ZCQ3	FAM174B
Q9ULE4	FAM184B
Q8N0U4	FAM185A
A6PVY3	FAM177B
A6NFU0	FAM187A
Q8TCP9	FAM200A
P0CF97	FAM200B
Q6PEV8	FAM199X
Q7Z5A9	FAM19A1
Q7Z5A8	FAM19A3
Q9NSI2	FAM207A
Q5VWN6	FAM208B
Q7L5A3	FAM214B
Q86YD7	FAM90A1
A6NKC0	FAM90A7P
Q8NDB6	FAM156A
Q6NSI3	FAM53A
Q9NYF3	FAM53C
Q8N5W8	FAM24B
Q8N2R8	FAM43A
Q6ZT52	FAM43B
Q5T7M9	FAM69A
Q6NSW5	FAM45BP
Q5JRC9	FAM47A
Q8NA70	FAM47B
Q5HY64	FAM47C
A6NHR8	FAM47DP
Q6ZV65	FAM47E
Q17RN3	FAM98C
Q96PS1	FANCD2OS
Q8N9I5	FADS6
Q96GK7	FAHD2A
P56851	EDDM3B
A6NDY0	PABPN1L
Q7L775	EPM2AIP1
Q8NHP7	EXD1
Q86XD5	FAM131B
Q96AQ9	FAM131C
Q8N9E0	FAM133A
Q6UXP7	FAM151B
P0C7A2	FAM153B
Q70Z53	FRA10AC1
Q9BQ89	FAM110A
Q49AJ0	FAM135B
A8MTA8	FAM166B
P0CG43	FAM157C
Q9BTA0	FAM167B
Q96MY7	FAM161B
Q8N8A8	FAM169B
Q5T6X4	FAM162B
A5PLN7	FAM149A
Q6J272	FAM166A
Q7Z309	FAM122B
Q9NVL1	FAM86C1
Q7L8L6	FASTKD5
Q8IZU0	FAM9B
Q8TB52	FBXO30
Q8TAA5	GRPEL2
P0C7U9	FAM87A
Q5FWF7	FBXO48
P31995	FCGR2C
Q8IZN7	DEFB107A
A8MPP1	DDX11L8
A0A096LNP1	DEFB131B
A6H8M9	CDHR4
Q569G3	C5orf47
D6REC4	CFAP99
Q9UF47	DNAJC5B
Q8N7S2	DNAJC5G
Q8WWF6	DNAJB3
Q9NNZ3	DNAJC4
Q9BSJ5	C17orf80
Q0VDD5	MIR22HG
Q8N123	CPXCR1
Q8TCD1	C18orf32
Q2VPA4	CR1L
Q8N9M1	C19orf47
Q5BKX5	C19orf54
Q0VDD7	C19orf57
A6NCJ1	C19orf71
Q9BR46	C20orf78
Q9H1P6	C20orf85
Q9NUD7	C20orf96
Q96C57	CUSTOS
P0C5K6	VENTXP1
Q9H4R4	NCOR1P1
Q8N268	C20orf197
P0DMV2	CT45A9
P0DMU8	CT45A5
P0DMU7	CT45A6
Q8WUE5	CT55
P0C5K7	CT62
P0CG12	CHTF8
Q8IX94	CTAGE4
P0CG41	CTAGE8
Q6GPI1	CTRB2
Q8TC29	ENKUR
Q8NEP4	C17orf47
Q13536	C1orf61
Q5T4H9	CASC10
Q9P1W3	TMEM63C
A8MUP2	CSKMT
Q4G0I0	CCSMST1
Q5D0E6	DALRD3
Q8N3J3	C17orf53
Q9BZP3	LINC00470
Q96KH6	C18orf12
Q32NC0	C18orf21
Q8N1P7	CRYBG2
Q8WXF5	CRYGN
Q32P44	EML3
Q05BV3	EML5
Q6ZMW3	EML6
Q5T6L9	ERMARD
Q9H175	CSRNP2
Q8WYN3	CSRNP3
O94919	ENDOD1
Q9H114	CSTL1
Q9BQM9	C20orf144
Q96LM9	C20orf173
Q9UGB4	C20orf187
Q5TEA3	C20orf194
A1L168	C20orf202
Q8NHU0	CT45A3
P0DMV0	CT45A7
Q96MU5	C17orf77
Q96B23	C18orf25
J3KSC0	LINC01387
Q6ZTR6	C18orf65
A6NJJ6	C19orf67
Q9NUB4	C20orf141
Q8NBC4	C20orf203
A0A1B0GTL2	C20orf204
Q5DJT8	CT45A2
P0DMU9	CT45A10
Q5JQC4	CT47A1
P0C2W7	CT47B1
P0DMV1	CT45A8
Q86UF2	CTAGE6
A2RUQ5	C17orf102
Q6ZR85	C17orf107
Q8N1L4	CYP4Z2P
Q5VT40	FAM78B
Q717R9	CYS1
Q6ZN68	DPY19L2P2
Q8NET1	DEFB108B
P0C864	DANCR
Q8NA75	DCAF4L2
A6NGE4	DCAF8L1
Q9BTE1	DCTN5
Q5HYJ3	FAM76B
Q6ZRR9	DCDC5
A2VCK2	DCDC2B
Q96J86	CYYR1
Q9BQY9	DBNDD2
Q30KP9	DEFB135
Q96JK2	DCAF5
Q5VW00	DCAF12L2
F2Z3M2	C17orf112
Q96FQ7	LINC00526
Q6ZMK1	CYHR1
P35663	CYLC1
Q96LP2	FAM81B
A6NH13	DNAJC9-AS1
Q30KQ5	DEFB115
Q8WWF8	CAPSL
Q96LW7	CARD19
Q68DN1	C2orf16
Q8IVU9	CABCOCO1
Q6P9G0	CYB5D1
Q8N7E2	CBLL2
Q494R4	CCDC153
Q9H0I3	CCDC113
Q8NCU4	CCDC191
Q8IWD4	CCDC117
Q9NVL8	CCDC198
Q6ZUJ4	C3orf62
Q5VVM6	CCDC30
Q2TAC2	CCDC57
Q8N9Z2	CCDC71L
A0A1B0GUA6	CCDC195
A6NKD9	CCDC85C
Q8N5N4	C3orf22
Q86WR0	CCDC25
Q9Y6R9	CCDC61
Q8N5R6	CCDC33
A6NI79	CCDC69
A4QMS7	C5orf49
Q8N7Q2	CELF2-AS1
Q96GS4	BORCS6
Q8WVV5	BTN2A2
C9JJ37	BTBD19
Q8NDD1	C1orf131
Q9H7X2	C1orf115
Q6ZSB3	LINC00299
Q08AI8	C2orf54
Q6UXQ4	C2orf66
Q2NKX9	C2orf68
Q0P641	C2orf80
Q8IVL8	CPO
Q5BJE1	CCDC178
Q8IYK2	CCDC105
Q9P1Z9	CCDC180
P13994	CCDC130
Q5T5S1	CCDC183
A0ZSE6	TMEM30CP
Q502W7	CCDC38
Q6ZUT6	CCDC9B
Q8N4S0	CCDC82
Q86UT8	CCDC84
Q53FE4	C4orf17
Q5MAI5	CDKL4
Q9P2H0	CEP126
Q5TB80	CEP162
Q52M75	LINC01554
Q96LR7	C2orf50
Q8N535	LINC00471
F5H4A9	C3orf80
H3BNL1	C3orf84
Q8NCX0	CCDC150
Q96BQ5	CCDC127
P0DN79	CBSL
Q8N715	CCDC185
Q96M89	CCDC138
Q86UF4	CCDC190
Q8IYE0	CCDC146
Q9GZT6	CCDC90B
P0CW27	CCDC166
Q49A88	CCDC14
Q5T9S5	CCDC18
Q8IV13	CCNJL
A6NJV1	C2orf70
A6NCI8	C2orf78
Q8IUF1	CBWD2
Q6UW01	CBLN3
Q5RIA9	CBWD5
Q4V339	CBWD6
A0A1B0GTC6	C3orf85
P0DN24	C3orf86
Q96MI9	AGBL1
Q4G0S7	CCDC152
Q5TID7	CCDC181
A6NI87	CBY3
Q5JPI3	C3orf38
Q8NDH2	CCDC168
Q0VFZ6	CCDC173
Q9BV29	CCDC32
Q8WXS5	CACNG8
Q9Y3X0	CCDC9
Q8IWA6	CCDC60
D6RIA3	C4orf54
Q86Y33	CDC20B
Q2M2E5	C5orf64
Q9H5L9	C5orf66
O95170	CDRT1
Q96LS8	C2orf48
P0DPF6	C2orf27B
P47755	CAPZA2
A6NN90	C2orf81
Q5JTY5	CBWD3
A6NI56	CCDC154
Q6PK04	CCDC137
Q8IYX3	CCDC116
P0DO97	CCDC192
A0A1B0GVG4	CCDC194
A6NNP5	CCDC169
Q9BXT2	CACNG6
Q96F63	CCDC97
Q9BR77	CCDC77
Q8IWF9	CCDC83
Q6ZMN8	CCNI2
A7E2U8	C4orf47
Q8N8R5	C2orf69
Q6ZRV3	LINC00696
P0CE67	C3orf79
A6NF36	CCDC182
Q7Z3E2	CCDC186
Q5T0U0	CCDC122
Q9HBI5	C3orf14
Q8IWP9	CCDC28A
Q6TFL3	CCDC171
Q9NVE4	CCDC87
Q96KX1	C4orf36
Q96LM5	C4orf45
Q9H7U1	CCSER2
Q5BLP8	C4orf48
Q8N7R7	CCNYL1
Q96M34	C3orf30
Q8N4L8	CCDC24
Q8TAB7	CCDC26
Q2M243	CCDC27
Q8TC90	CCER1
Q99440	LINC01587
Q8N1A6	C4orf33
Q5M9N0	CCDC158
A8MXV6	CDRT15L2
C9J3I9	C5orf58
A6NFR6	C5orf60
Q8TAP6	CEP76
A5D8W1	CFAP69
Q9H8X3	LINC00574
P0C7V0	LINC00271
Q5T5N4	C6orf118
Q8N319	C6orf223
Q5I0X4	C6orf226
Q5SQH8	C6orf136
Q5JU67	CFAP157
A4D256	CDC14C
P0C7I6	CCDC159
A6NGH7	CCDC160
Q96MF4	CCDC140
Q8NCU1	CCDC197
Q6ZUS6	CCDC149
Q1T7F1	null
Q6PII3	CCDC174
Q96MW1	CCDC43
Q9UF02	CACNG5
F2Z3F1	C5orf67
Q9Y6F7	CDY2A
Q6UY09	CEACAM20
Q96GV9	C5orf30
Q8N9R6	CDRT4
Q96T59	CDRT15
Q6UWT4	C5orf46
P08218	CELA2B
Q96GE4	CEP95
Q30KQ9	DEFB110
Q30KQ4	DEFB116
Q30KP8	DEFB136
Q9NXF7	DCAF16
A8MYV0	DCDC2C
Q92564	DCUN1D4
Q92771	DDX12P
Q8N688	DEFB123
Q8WVC6	DCAKD
Q9BTE7	DCUN1D5
A6NHG4	DDTL
A0PJE2	DHRS12
Q9Y2E4	DIP2C
Q9Y2G8	DNAJC16
Q8NHQ9	DDX55
Q7Z5J1	HSD11B1L
Q8TF46	DIS3L
Q6P158	DHX57
Q96LL9	DNAJC30
Q6ZN54	DEF8
Q9H819	DNAJC18
O00399	DCTN6
Q9NUU7	DDX19A
Q8N8A6	DDX51
Q05D60	DEUP1
Q96QD5	DEPDC7
Q6UX07	DHRS13
Q6ZS02	DNM1P46
Q96LJ7	DHRS1
Q969H9	DIRC1
Q5F1R6	DNAJC21
Q6ZMT9	DTHD1
Q5VZP5	DUSP27
Q8WVR3	C7orf43
Q9BRJ6	C7orf50
Q8NEG2	C7orf57
Q6P1X6	C8orf82
Q9H7B7	C7orf69
Q6ZTR5	CFAP47
Q8N0T1	C8orf59
Q6PGQ1	DRICH1
Q6IAN0	DHRS7B
A6NNS2	DHRS7C
Q7Z4L0	COX8C
Q96LL3	C16orf92
Q96GX8	C16orf74
P22792	CPN2
A6NMK7	CPSF4L
Q0P5P2	C17orf67
Q96SM3	CPXM1
Q8IVE0	CROCCP3
Q9NUG4	CCM2L
Q8IY42	C4orf19
Q9C0I3	CCSER1
Q504U0	C4orf46
Q5T2Q4	CCNYL2
P86790	CCZ1B
Q8NHU2	CFAP61
Q9BYV8	CEP41
Q9C0F1	CEP44
Q8N0U6	LINC00518
Q96N11	C7orf26
Q8N865	C7orf31
A4D0T2	C7orf66
Q96G28	CFAP36
Q9H7E9	C8orf33
Q8NAV2	C8orf58
Q8WUX2	CHAC2
Q5T1J5	CHCHD2P9
Q96FN4	CPNE2
Q2M2W7	C17orf58
Q96N68	C18orf15
I3L1E1	C19orf84
A0A1B0GUS0	C19orf85
Q6PB30	CSAG1
O94886	TMEM63A
Q5T3F8	TMEM63B
Q9NPA0	EMC7
Q9BVV8	C19orf24
Q6RUI8	C19orf48
K7EIQ3	ZNF561-AS1
Q902F9	HERVK_113
Q17RM4	CCDC142
Q6ZUS5	CCDC121
Q9P0B6	CCDC167
P0C7W6	CCDC172
Q9NQR7	CCDC177
Q0P6D6	CCDC15
Q96LX7	CCDC17
Q6NSX1	CCDC70
Q8IV32	CCDC71
Q4VC31	CCDC58
Q6W349	LINC00575
Q6ZRC1	C4orf50
C9J302	C4orf51
A6NJW9	CD8B2
Q6ZU80	CEP128
A6NGY3	C5orf52
Q8N8D9	C5orf56
Q6P2H3	CEP85
Q7Z4U5	C6orf201
B2RV13	CFAP97D1
Q7Z4T9	MAATS1
Q6ZTY9	C7orf65
A4D174	C7orf71
I3L3R5	CCER2
Q8N1B3	CCNQ
P0C7X3	CCNYL3
Q8IYX8	CEP57L1
P0DPI3	CENPVL2
B2RD01	CENPBD1
Q9GZU0	C6orf62
A6NKQ9	CGB1
Q6NT52	CGB2
Q6NVV7	CDPF1
O75871	CEACAM4
A8MTT3	CEBPZOS
Q86SI9	C5orf38
A0A0U1RR11	CENPVL1
A0A0U1RRI6	CENPVL3
Q5TEZ5	C6orf163
Q5T4I8	C6orf52
P0C671	C6orf222
Q5T0Z8	C6orf132
Q6V702	CFAP299
Q96CB5	C8orf44
P0DN86	CGB3
P0DN87	CGB7
Q9Y4M8	LINC00588
Q8N8I6	LINC00482
Q86WR6	C17orf64
Q68DL7	C18orf63
A4D0V7	CPED1
Q68DQ2	CRYBG3
Q9H3Y0	R3HDML
Q8NEA5	C19orf18
Q9H6X5	C19orf44
Q9NVV2	C19orf73
C9J6K1	C19orf81
Q6PJG2	ELMSAN1
Q8WW18	C17orf50
A0A1B0GUU1	C17orf113
A6NIL9	CRYM-AS1
H7BZ55	CROCC2
B5ME19	EIF3CL
P11844	CRYGA
Q9Y5P2	CSAG2
Q8TBR5	CIRBP-AS1
O43402	EMC8
Q9H693	C16orf95
